instance,time,optimum,found
0,0.01515679998556152,1.0,False
1,0.014290499995695427,1.0,False
2,0.014649499993538484,1.0,False
3,0.012931700010085478,1.0,False
4,0.01285289999214001,1.0,False
5,0.012387299997499213,1.0,False
6,0.012947499984875321,1.0,False
7,0.01526640000520274,2.0,False
8,0.012214999995194376,2.0,False
9,0.012460499972803518,2.0,False
10,0.01444860000628978,2.0,False
11,0.012679300009040162,2.0,False
12,0.013526399998227134,2.0,False
13,0.010978500009514391,2.0,False
14,0.01573930002632551,2.0,False
15,0.01434650001465343,2.0,False
16,0.014911100006429479,2.0,False
17,0.015515000006416813,2.0,False
18,0.01449760000105016,3.0,False
19,0.013192500016884878,2.0,False
20,0.017500200017821044,2.0,False
