instance,time,optimum,found
0,0.013389399973675609,1.0,False
1,0.0132797000114806,1.0,False
2,0.012794399983249605,1.0,False
3,0.012379100022371858,1.0,False
4,0.014129099959973246,1.0,False
5,0.011585800035391003,1.0,False
6,0.01222930004587397,1.0,False
7,0.010097499995026737,2.0,False
8,0.011825599998701364,2.0,False
9,0.01180390000808984,2.0,False
10,0.011893499991856515,2.0,False
11,0.012360399996396154,2.0,False
12,0.010872800019569695,2.0,False
13,0.011914300033822656,2.0,False
14,0.016120399988722056,2.0,False
15,0.012219899974297732,2.0,False
16,0.014166100008878857,2.0,False
17,0.01696859998628497,2.0,False
18,0.013962000026367605,3.0,False
19,0.01505609997548163,2.0,False
20,0.01789210003335029,2.0,False
