instance,time,optimum,found
0,0.01903286899869272,1.0,True
1,0.020221991999278544,1.0,True
2,0.019100613999398774,1.0,True
3,0.018543054000474513,1.0,True
4,0.019552325999029563,1.0,True
5,0.02194304899967392,1.0,True
6,0.018224008999823127,1.0,True
7,0.017198256000483525,2.0,True
8,0.015992725000614882,2.0,True
9,0.01647431399942434,2.0,True
10,0.015918813000098453,2.0,True
11,0.01713357799962978,2.0,True
12,0.01534343599996646,2.0,True
13,0.01585497700034466,2.0,True
14,0.021637697000187472,2.0,True
15,0.022024138999768184,2.0,True
16,0.023817631999918376,2.0,True
17,0.02059877899955609,2.0,True
18,0.01937103499949444,3.0,True
19,0.019353141000465257,2.0,True
20,0.021830232999491272,2.0,True
