instance,time,optimum,found,optimizer,backend,shots,optimizer_iteration,p
7,811.9515759180003,2.0,True,cobyla,aer_simulator,,1000,1
7,1339.9964884500005,2.0,True,cobyla,aer_simulator,,1000,2
7,765.5638112469987,2.0,True,cobyla,aer_simulator,,1000,1
11,913.7489809390001,2.0,True,cobyla,aer_simulator,,1000,1
11,1443.9742988870003,2.0,True,cobyla,aer_simulator,,1000,2
11,931.0455747440001,2.0,True,cobyla,aer_simulator,,1000,1
13,782.7223037739998,3.0,True,cobyla,aer_simulator,,1000,1
13,1118.3907976869996,2.0,True,cobyla,aer_simulator,,1000,2
13,642.4616305640002,2.0,True,cobyla,aer_simulator,,1000,1
13,2059.478897557,2.0,True,nelder_mead,aer_simulator,,1000,1
