instance,time,optimum,found,optimizer,backend,shots,optimizer_iteration,p
0,4.075445599999512,1.0,True,cobyla,aer_simulator,,1000,1
0,7.131037600018317,1.0,True,cobyla,aer_simulator,,1000,2
0,5.5206383999902755,1.0,True,cobyla,aer_simulator,,1000,1
0,11.017067500011763,1.0,True,nelder_mead,aer_simulator,,1000,1
0,23.328193699999247,1.0,True,spsa,aer_simulator,,1000,1
0,4.163368200010154,1.0,True,cobyla,aer_simulator,,250,1
0,4.4509834999917075,1.0,True,cobyla,aer_simulator,,500,1
0,3.8378489000024274,1.0,True,cobyla,aer_simulator,,750,1
0,4.256543800001964,1.0,True,cobyla,aer_simulator,,1000,1
0,1.6639002000156324,2.0,True,cobyla,aer_simulator,200.0,1000,1
0,2.0446745000081137,2.0,True,cobyla,aer_simulator,400.0,1000,1
0,2.3708442999923136,1.0,True,cobyla,aer_simulator,600.0,1000,1
0,2.2604353000060655,1.0,True,cobyla,aer_simulator,800.0,1000,1
0,2.2717464999877848,1.0,True,cobyla,aer_simulator,1000.0,1000,1
1,4.192336000007344,1.0,True,cobyla,aer_simulator,,1000,1
1,7.5576501000032295,1.0,True,cobyla,aer_simulator,,1000,2
1,4.466808699973626,1.0,True,cobyla,aer_simulator,,1000,1
1,10.180109799985075,1.0,True,nelder_mead,aer_simulator,,1000,1
1,21.55551989999367,1.0,True,spsa,aer_simulator,,1000,1
1,8.177797800017288,1.0,True,cobyla,aer_simulator,,250,1
1,7.796869500016328,1.0,True,cobyla,aer_simulator,,500,1
1,4.157431999978144,1.0,True,cobyla,aer_simulator,,750,1
1,4.133888799988199,1.0,True,cobyla,aer_simulator,,1000,1
1,1.6234357999928761,1.0,True,cobyla,aer_simulator,200.0,1000,1
1,2.2517409999854863,2.0,True,cobyla,aer_simulator,400.0,1000,1
1,2.069005900004413,1.0,True,cobyla,aer_simulator,600.0,1000,1
1,2.0872694000136107,1.0,True,cobyla,aer_simulator,800.0,1000,1
1,2.0687553999887314,1.0,True,cobyla,aer_simulator,1000.0,1000,1
2,4.304778899997473,1.0,True,cobyla,aer_simulator,,1000,1
2,7.377580000000307,1.0,True,cobyla,aer_simulator,,1000,2
2,4.495705999986967,1.0,True,cobyla,aer_simulator,,1000,1
2,13.699154899979476,1.0,True,nelder_mead,aer_simulator,,1000,1
2,21.664286699990043,1.0,True,spsa,aer_simulator,,1000,1
2,4.082403599983081,1.0,True,cobyla,aer_simulator,,250,1
2,4.319800099998247,1.0,True,cobyla,aer_simulator,,500,1
2,4.067095000005793,1.0,True,cobyla,aer_simulator,,750,1
2,4.028681200026767,1.0,True,cobyla,aer_simulator,,1000,1
2,1.6787750000075903,1.0,True,cobyla,aer_simulator,200.0,1000,1
2,1.8441673000052106,1.0,True,cobyla,aer_simulator,400.0,1000,1
2,2.335495900013484,1.0,True,cobyla,aer_simulator,600.0,1000,1
2,2.091522000002442,1.0,True,cobyla,aer_simulator,800.0,1000,1
2,1.911907900008373,1.0,True,cobyla,aer_simulator,1000.0,1000,1
3,3.79690169999958,1.0,True,cobyla,aer_simulator,,1000,1
3,6.80940859997645,1.0,True,cobyla,aer_simulator,,1000,2
3,3.8907138999784365,1.0,True,cobyla,aer_simulator,,1000,1
3,12.547784399997909,1.0,True,nelder_mead,aer_simulator,,1000,1
3,21.779493899986846,1.0,True,spsa,aer_simulator,,1000,1
3,4.318265200010501,1.0,True,cobyla,aer_simulator,,250,1
3,4.372364500013646,1.0,True,cobyla,aer_simulator,,500,1
3,4.140869800001383,1.0,True,cobyla,aer_simulator,,750,1
3,4.449334100005217,1.0,True,cobyla,aer_simulator,,1000,1
3,1.7171695999859367,2.0,True,cobyla,aer_simulator,200.0,1000,1
3,1.9795232999895234,2.0,True,cobyla,aer_simulator,400.0,1000,1
3,2.229816300008679,2.0,True,cobyla,aer_simulator,600.0,1000,1
3,2.0496395000081975,2.0,True,cobyla,aer_simulator,800.0,1000,1
3,1.9190137999830768,2.0,True,cobyla,aer_simulator,1000.0,1000,1
4,4.170443100010743,1.0,True,cobyla,aer_simulator,,1000,1
4,6.64494920001016,1.0,True,cobyla,aer_simulator,,1000,2
4,4.242770100012422,1.0,True,cobyla,aer_simulator,,1000,1
4,12.229798800020944,1.0,True,nelder_mead,aer_simulator,,1000,1
4,21.694714999990538,1.0,True,spsa,aer_simulator,,1000,1
4,4.099170300003607,1.0,True,cobyla,aer_simulator,,250,1
4,4.323393500002567,1.0,True,cobyla,aer_simulator,,500,1
4,4.22001459999592,1.0,True,cobyla,aer_simulator,,750,1
4,3.963323100004345,1.0,True,cobyla,aer_simulator,,1000,1
4,1.9174658000119962,2.0,True,cobyla,aer_simulator,200.0,1000,1
4,2.0624927999742795,3.0,True,cobyla,aer_simulator,400.0,1000,1
4,2.312399500020547,1.0,True,cobyla,aer_simulator,600.0,1000,1
4,2.0906588999787346,2.0,True,cobyla,aer_simulator,800.0,1000,1
4,2.256738800002495,2.0,True,cobyla,aer_simulator,1000.0,1000,1
5,3.846832999988692,1.0,True,cobyla,aer_simulator,,1000,1
5,6.263938499992946,1.0,True,cobyla,aer_simulator,,1000,2
5,4.040553800005,1.0,True,cobyla,aer_simulator,,1000,1
5,13.219113400002243,1.0,True,nelder_mead,aer_simulator,,1000,1
5,22.364706499996828,1.0,True,spsa,aer_simulator,,1000,1
5,4.213987900002394,1.0,True,cobyla,aer_simulator,,250,1
5,4.5950489999959245,1.0,True,cobyla,aer_simulator,,500,1
5,4.123670100001618,1.0,True,cobyla,aer_simulator,,750,1
5,3.9180347000074107,1.0,True,cobyla,aer_simulator,,1000,1
5,2.1514126999827567,1.0,True,cobyla,aer_simulator,200.0,1000,1
5,2.2644536000152584,1.0,True,cobyla,aer_simulator,400.0,1000,1
5,2.2983812000020407,1.0,True,cobyla,aer_simulator,600.0,1000,1
5,2.393967200012412,1.0,True,cobyla,aer_simulator,800.0,1000,1
5,2.588860100018792,1.0,True,cobyla,aer_simulator,1000.0,1000,1
6,4.523303900001338,1.0,True,cobyla,aer_simulator,,1000,1
6,6.371696799993515,1.0,True,cobyla,aer_simulator,,1000,2
6,4.272308599989628,1.0,True,cobyla,aer_simulator,,1000,1
6,12.625989899999695,1.0,True,nelder_mead,aer_simulator,,1000,1
6,22.575895999994827,1.0,True,spsa,aer_simulator,,1000,1
6,3.993330600002082,1.0,True,cobyla,aer_simulator,,250,1
6,4.515612699993653,1.0,True,cobyla,aer_simulator,,500,1
6,4.054505300009623,1.0,True,cobyla,aer_simulator,,750,1
6,4.079332399996929,1.0,True,cobyla,aer_simulator,,1000,1
6,1.7213532000023406,1.0,True,cobyla,aer_simulator,200.0,1000,1
6,2.086334599996917,1.0,True,cobyla,aer_simulator,400.0,1000,1
6,1.818791700003203,1.0,True,cobyla,aer_simulator,600.0,1000,1
6,1.961882900010096,1.0,True,cobyla,aer_simulator,800.0,1000,1
6,2.0805842999834567,1.0,True,cobyla,aer_simulator,1000.0,1000,1
7,414.7591203000047,2.0,True,cobyla,aer_simulator,,1000,1
7,795.7343198000162,2.0,True,cobyla,aer_simulator,,1000,2
